text	label	language	source
According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.	Islamophobia,crimes	en	chung2019
In Birmingham there is a school where girls and boys are separeted even if it isn't legal.	Islamophobia,crimes	en	chung2019
A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.	Islamophobia,crimes	en	chung2019
According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.	Islamophobia,crimes	en	chung2019
In Birmingham there is a school where girls and boys are separeted even if it isn't legal.	Islamophobia,crimes	en	chung2019
A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.	Islamophobia,crimes	en	chung2019
According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.	Islamophobia,crimes	en	chung2019
In Birmingham there is a school where girls and boys are separeted even if it isn't legal.	Islamophobia,crimes	en	chung2019
A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.	Islamophobia,crimes	en	chung2019
According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.	Islamophobia,crimes	en	chung2019
In Birmingham there is a school where girls and boys are separeted even if it isn't legal.	Islamophobia,crimes	en	chung2019
A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.	Islamophobia,crimes	en	chung2019
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!	Islamophobia,crimes	en	chung2019
Muslims grooming gangs are protected by the government and the police. This is a betrayal!	Islamophobia,crimes	en	chung2019
The police and the government are defending muslim gangs and they must be considered as traitors of our society.	Islamophobia,crimes	en	chung2019
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!	Islamophobia,crimes	en	chung2019
Muslims grooming gangs are protected by the government and the police. This is a betrayal!	Islamophobia,crimes	en	chung2019
The police and the government are defending muslim gangs and they must be considered as traitors of our society.	Islamophobia,crimes	en	chung2019
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!	Islamophobia,crimes	en	chung2019
Muslims grooming gangs are protected by the government and the police. This is a betrayal!	Islamophobia,crimes	en	chung2019
